sha256,size_bytes,copy_count,source_relative_path,destination_relative_path
0d400fcc054e394748b9a32c770d0c09e35198441540dcdd74b87de68e160a4c,458,2,community-platform/node_modules/next/dist/build/templates/edge-ssr.d.ts,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/build/templates/edge-ssr.d.ts
0d7fd19558f420bf4c8ab69f82b1bdb93031c269732c70b5891eca6ec5d6ae8d,3282,4,00_README.md,00_START_HERE/original_root_metadata/00_README.md
0d7fd19558f420bf4c8ab69f82b1bdb93031c269732c70b5891eca6ec5d6ae8d,3282,4,institutional_integrity/institutional_integrity_v0_2_release/modular_source/00_README.md,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_2_release/modular_source/00_README.md
0d7fd19558f420bf4c8ab69f82b1bdb93031c269732c70b5891eca6ec5d6ae8d,3282,4,institutional_integrity/institutional_integrity_v0_3/00_README.md,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_3/00_README.md
0d7fd19558f420bf4c8ab69f82b1bdb93031c269732c70b5891eca6ec5d6ae8d,3282,4,institutional_integrity/institutional_integrity_v0_4/00_README.md,05_INTEGRITY_SAFEGUARDING_AND_COMPLIANCE/institutional_integrity/institutional_integrity_v0_4/00_README.md
0dfef145c74e0af98d910efc739a2c625ab07258412b733ffa9c61f6077ce0e9,3507,2,community-platform/node_modules/@supabase/auth-js/dist/main/lib/errors.d.ts.map,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/auth-js/dist/main/lib/errors.d.ts.map
0dfef145c74e0af98d910efc739a2c625ab07258412b733ffa9c61f6077ce0e9,3507,2,community-platform/node_modules/@supabase/auth-js/dist/module/lib/errors.d.ts.map,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/auth-js/dist/module/lib/errors.d.ts.map
0e24028dd2be738d337c9c379c846038f21b6f640369935d731809a2dd1ac102,41736,2,Church/CH-024-Ministerial-Offices-Standard.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/Church/CH-024-Ministerial-Offices-Standard.docx
0e24028dd2be738d337c9c379c846038f21b6f640369935d731809a2dd1ac102,41736,2,institution/05-operations/ministry/CH-024-Ministerial-Offices-Standard.docx,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-024-Ministerial-Offices-Standard.docx
0eaba304354ff9c9e30a0f8ed30df22937747bc0b0d84de7e12ebfe8c41d6601,40288,2,institution/06-templates/local-affiliation/AFF-DIS-001-Disaffiliation-Implementation-Record.docx,04_INSTITUTION_AND_GOVERNANCE/institution/06-templates/local-affiliation/AFF-DIS-001-Disaffiliation-Implementation-Record.docx
0eaba304354ff9c9e30a0f8ed30df22937747bc0b0d84de7e12ebfe8c41d6601,40288,2,operations/templates/05-Local-and-Affiliation/AFF-DIS-001-Disaffiliation-Implementation-Record.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/operations/templates/05-Local-and-Affiliation/AFF-DIS-001-Disaffiliation-Implementation-Record.docx
0f40aefe1546bbc5d66107dc7e70c11a0ecc3f850f8754ab083715112911f331,40578,2,Church/CH-028-Ministerial-Credentials.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/Church/CH-028-Ministerial-Credentials.docx
0f40aefe1546bbc5d66107dc7e70c11a0ecc3f850f8754ab083715112911f331,40578,2,institution/05-operations/ministry/CH-028-Ministerial-Credentials.docx,04_INSTITUTION_AND_GOVERNANCE/institution/05-operations/ministry/CH-028-Ministerial-Credentials.docx
0fc07311a3c39ac135d658f635f3af9661a33303638844bd7e23d598f47a375f,41120,2,binders/FILING-001-IRS-Determination-Package-Production-Binder.docx,80_HISTORICAL_AND_PREINTEGRATION_PACKAGES/binders/FILING-001-IRS-Determination-Package-Production-Binder.docx
0fc07311a3c39ac135d658f635f3af9661a33303638844bd7e23d598f47a375f,41120,2,institution/99-archive/historical-drafts/production-binders/FILING-001-IRS-Determination-Package-Production-Binder.docx,04_INSTITUTION_AND_GOVERNANCE/institution/99-archive/historical-drafts/production-binders/FILING-001-IRS-Determination-Package-Production-Binder.docx
1048bc9843d12df48d469a273c9971ef3c6def3dfe21af32fcb5a22b1699462b,14935,3,HTERP/HTERP_v0.1/wave1_findings.md,02_RESEARCH_AND_EVIDENCE/HTERP/HTERP_v0.1/wave1_findings.md
1048bc9843d12df48d469a273c9971ef3c6def3dfe21af32fcb5a22b1699462b,14935,3,HTERP/HTERP_v0.2/wave1_findings.md,02_RESEARCH_AND_EVIDENCE/HTERP/HTERP_v0.2/wave1_findings.md
1048bc9843d12df48d469a273c9971ef3c6def3dfe21af32fcb5a22b1699462b,14935,3,HTERP/HTERP_v1.4/wave1_findings.md,02_RESEARCH_AND_EVIDENCE/HTERP/HTERP_v1.4/wave1_findings.md
1049b49c0f2b80f05d8623804d99bb7dfe1a3b28f06a8737f00aece03e7e2eb8,1824,2,community-platform/node_modules/@supabase/auth-js/dist/main/lib/fetch.d.ts.map,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/auth-js/dist/main/lib/fetch.d.ts.map
1049b49c0f2b80f05d8623804d99bb7dfe1a3b28f06a8737f00aece03e7e2eb8,1824,2,community-platform/node_modules/@supabase/auth-js/dist/module/lib/fetch.d.ts.map,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/auth-js/dist/module/lib/fetch.d.ts.map
10d7d1f502facc5600c0056a9de03b6ee635e3ead7612d1cfaf77a9006d79af6,240,2,community-platform/node_modules/next/dist/api/app.js.map,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/api/app.js.map
10d7d1f502facc5600c0056a9de03b6ee635e3ead7612d1cfaf77a9006d79af6,240,2,community-platform/node_modules/next/dist/esm/api/app.js.map,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/esm/api/app.js.map
10ea62d2f14f764183b70af2165df15e8063c5f52e48fef4dbce55d0998c038a,226,2,community-platform/node_modules/@supabase/auth-js/dist/main/lib/version.js.map,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/auth-js/dist/main/lib/version.js.map
10ea62d2f14f764183b70af2165df15e8063c5f52e48fef4dbce55d0998c038a,226,2,community-platform/node_modules/@supabase/realtime-js/dist/main/lib/version.js.map,06_DIGITAL_PLATFORM/community-platform/node_modules/@supabase/realtime-js/dist/main/lib/version.js.map
1111e8c333e446bd3bee3f02fa22e5474b55f3637e2a9bb8d2333840de859384,67,2,community-platform/node_modules/@types/react-dom/static.browser.d.ts,06_DIGITAL_PLATFORM/community-platform/node_modules/@types/react-dom/static.browser.d.ts
1111e8c333e446bd3bee3f02fa22e5474b55f3637e2a9bb8d2333840de859384,67,2,community-platform/node_modules/@types/react-dom/static.edge.d.ts,06_DIGITAL_PLATFORM/community-platform/node_modules/@types/react-dom/static.edge.d.ts
11133541dfe9c23338b648851e4a8eb399342a37759d4b5a3ca6f514785ccc8d,287,2,community-platform/node_modules/next/dist/api/error.react-server.js,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/api/error.react-server.js
11133541dfe9c23338b648851e4a8eb399342a37759d4b5a3ca6f514785ccc8d,287,2,community-platform/node_modules/next/dist/esm/api/error.react-server.js,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/esm/api/error.react-server.js
117da2af0d4ce0fe1c8e19b5cff9dcd806adf973d328d27b11d4448c4ff24f76,1106,2,community-platform/node_modules/next/dist/compiled/@babel/runtime/LICENSE,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/compiled/@babel/runtime/LICENSE
117da2af0d4ce0fe1c8e19b5cff9dcd806adf973d328d27b11d4448c4ff24f76,1106,2,community-platform/node_modules/next/dist/compiled/babel/LICENSE,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/compiled/babel/LICENSE
1213b565bcb89186df47543861eab7c2b262a71c9a3805cfb82d539f1d73d6bc,122,2,community-platform/node_modules/next/dist/compiled/schema-utils2/package.json,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/compiled/schema-utils2/package.json
1213b565bcb89186df47543861eab7c2b262a71c9a3805cfb82d539f1d73d6bc,122,2,community-platform/node_modules/next/dist/compiled/schema-utils3/package.json,06_DIGITAL_PLATFORM/community-platform/node_modules/next/dist/compiled/schema-utils3/package.json
